"item-img href","checkedimg2 src","item-brand href","item-brand src","item-rating href","item-rating-num","item-title","item-features","item-features 2","item-features 3","item-features 4","item-features 5","item-features 6","item-features 7","item-features 8","item-features 9","item-features 10","price-was-data","price-current","price-current 2","price-current 3","price-current-range","price-save-label","price-save-dollar","price-save-percent","link-hover-underline","link-hover-underline href","price-ship","btn 2","product-price-ship-eligible","product-delivery-title","d2c-section-title src","d2c-section-title","d2c-section-desc"
"https://www.newegg.com/p/3D5-002N-00092","https://c1.neweggimages.com/productimage/nb300/B5FPS24101119MCRTFA.jpg","https://www.newegg.com/AVGPC/BrandStore/ID-219092","https://c1.neweggimages.com/brandimage/Brand219092.gif","https://www.newegg.com/p/3D5-002N-00092#IsFeedbackTab","(12)","AVGPC FrostFire Creator Series Gaming PC AMD Ryzen 7 7800X3D GeForce RTX 4080 SUPER 360mm Liquid Cooling 2TB nVME 64GB RAM DDR5 Win 11 Pro Full Tower Size Case White","GeForce RTX 4080 SUPER","GPU/VGA Type:","AMD Ryzen 7 7800X3D","CPU Name:","64GB DDR5","Memory Capacity:","2 TB","SSD:","AV-FrostFire-4080S","Model #:","$2,799.99","$","2,499",".99","–","Save:","$300.00","(10%)","More options from $2,499.00 - $2,945.32","https://www.newegg.com/p/3D5-002N-00092?Item=3D5-002N-00092#moreBuyOptions","Free Shipping","Back order","","","","",""
"https://www.newegg.com/p/3D5-000Z-001U0","https://c1.neweggimages.com/productimage/nb300/A1HJS24102505WKQX63.jpg","https://www.newegg.com/Skytech/BrandStore/ID-28071","https://c1.neweggimages.com/brandimage/Brand28071.gif","https://www.newegg.com/p/3D5-000Z-001U0#IsFeedbackTab","(9)","Skytech King 95 Gaming PC Desktop, Ryzen 9 9900X 4.4 GHz (5.6GHz Turbo Boost), AMD RX 7900XTX 24GB GDDR6, , 32GB DDR5 RAM 6000 RGB, 850W GOLD PSU, 360mm ARGB AIO , Wi-Fi, Win 11 Home","2024","Release Year:","Gaming & Entertainment","Type:","AI Ready","AI Features:","White","Color:","ST-KING95-1379-W-SK","Model #:","$3,099.99","$","2,399",".99","–","Save:","$700.00","(22%)","","","","Add to cart","Free Shipping","from United States","https://c1.neweggimages.com/WebResource/Themes/Nest/icons/D2CIcon@1x.png","Direct from Skytech","This product is sold direct from the manufacturer."
"https://www.newegg.com/msi-mpg-trident-as-14nud7-679us/p/N82E16883151409","https://c1.neweggimages.com/productimage/nb300/83-151-409-09.jpg","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","https://www.newegg.com/msi-mpg-trident-as-14nud7-679us/p/N82E16883151409#IsFeedbackTab","(6)","MSI MPG Trident AS Gaming Desktop PC, Intel Core i7-14700F, GeForce RTX 4060 Ti, 16GB DDR5, 1TB PCIe SSD, Windows 11 Home, MPG Trident AS 14NUD7-679US","GeForce RTX 4060 Ti","GPU/VGA Type:","Intel Core i7-14700F","CPU Name:","16GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","MPG Trident AS 14NUD7-679US","Model #:","","$","1,460",".94","–","","","","More options from $1,379.00 - $1,758.10","https://www.newegg.com/msi-mpg-trident-as-14nud7-679us/p/N82E16883151409?Item=9SIA25VKBT1426#moreBuyOptions","","Add to cart","Free Shipping","from United States","","",""
"https://www.newegg.com/msi-mpg-trident-as-14nuc5-678us/p/N82E16883151410","https://c1.neweggimages.com/productimage/nb300/83-151-409-09.jpg","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","https://www.newegg.com/msi-mpg-trident-as-14nuc5-678us/p/N82E16883151410#IsFeedbackTab","(6)","MSI MPG Trident AS Gaming Desktop, Intel Core i5-14400F, GeForce RTX 4060, 16GB DDR5, 1TB PCIe SSD, Windows 11 Home, MPG Trident AS 14NUC5-678US","GeForce RTX 4060","GPU/VGA Type:","Intel Core i5-14400F","CPU Name:","16GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","MPG Trident AS 14NUC5-678US","Model #:","$1,199.00","$","1,149",".99","–","","","","More options from $1,139.00 - $1,429.80","https://www.newegg.com/msi-mpg-trident-as-14nuc5-678us/p/N82E16883151410?Item=N82E16883151410#moreBuyOptions","","Add to cart","Free Shipping","from United States","","",""
"https://www.newegg.com/msi-codex-r3-14nud7-092us/p/N82E16883151399","https://c1.neweggimages.com/productimage/nb300/83-151-398-01.jpg","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","https://www.newegg.com/msi-codex-r3-14nud7-092us/p/N82E16883151399#IsFeedbackTab","(6)","MSI Codex R2 Gaming Desktop PC, Intel Core i7-14700F, GeForce RTX 4060 Ti, 32GB DDR5, 2TB PCIe SSD, Windows 11 Home, Codex R2 B14NUD7-092US","GeForce RTX 4060 Ti","GPU/VGA Type:","Intel Core i7-14700F","CPU Name:","32GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","Codex R2 B14NUD7-092US","Model #:","","$","1,449",".00","–","","","","More options from $1,299.00 - $1,611.44","https://www.newegg.com/msi-codex-r3-14nud7-092us/p/N82E16883151399?Item=9SIA1CZKAF2224#moreBuyOptions","","Add to cart","Free Shipping","from United States","","",""
"https://www.newegg.com/p/3D5-002D-000H7","https://c1.neweggimages.com/productimage/nb300/AZBDS2408300UKQZMA0.jpg","https://www.newegg.com/MXZ/BrandStore/ID-216140","https://c1.neweggimages.com/brandimage/Brand216140.gif","https://www.newegg.com/p/3D5-002D-000H7#IsFeedbackTab","(6)","MXZ Gaming PC Computer AMD Ryzen 5 3600, GeForce RTX 4060, 8GB*2(16GB) DDR4, NVME M2 500GB, 5 RGB Fans, Windows 11 Pro Ready to Use, Gamer Desktop Computer (R5 3600| RTX 4060)","R5 3600|RTX 4060","Model #:","","","","","","","","","$899.00","$","708",".00","–","Save:","$191.00","(21%)","","","","Add to cart","Free Shipping","from United States","https://c1.neweggimages.com/WebResource/Themes/Nest/icons/D2CIcon@1x.png","Available Direct from MXZ","This product is sold direct from the manufacturer."
"https://www.newegg.com/msi-codex-r2-b14nuc5-216us/p/N82E16883151417","https://c1.neweggimages.com/productimage/nb300/83-151-416-13.jpg","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","https://www.newegg.com/msi-codex-r2-b14nuc5-216us/p/N82E16883151417#IsFeedbackTab","(5)","MSI Codex R2 Gaming PC, Intel Core i5-14400F, GeForce RTX 4060, 16GB DDR5, 1 TB PCIe SSD, Windows 11 Home, Codex R2 B14NUC5-216US","GeForce RTX 4060","GPU/VGA Type:","Intel Core i5-14400F","CPU Name:","16GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","Codex R2 B14NUC5-216US","Model #:","$999.00","$","899",".00","–","Save:","$100.00","(10%)","More options from $899.00 - $1,109.19","https://www.newegg.com/msi-codex-r2-b14nuc5-216us/p/N82E16883151417?Item=N82E16883151417#moreBuyOptions","Free Shipping","Back order","","","","",""
"https://www.newegg.com/msi-codexr2-b14nuc5-091us-intel-core-i5-14400f-geforce-rtx-4060-16gb-ddr5-2-tb-pcie/p/N82E16883151398","https://c1.neweggimages.com/productimage/nb300/83-151-398-01.jpg","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","https://www.newegg.com/msi-codexr2-b14nuc5-091us-intel-core-i5-14400f-geforce-rtx-4060-16gb-ddr5-2-tb-pcie/p/N82E16883151398#IsFeedbackTab","(5)","MSI Codex R2 Gaming Desktop PC, Intel Core i5-14400F, GeForce RTX 4060, 16GB DDR5, 2TB PCIe SSD, Windows 11 Home, Codex R2 B14NUC5-091US","GeForce RTX 4060","GPU/VGA Type:","Intel Core i5-14400F","CPU Name:","16GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","Codex R2 B14NUC5-091US","Model #:","$1,099.00","$","999",".00","–","Save:","$100.00","(9%)","More options from $999.00 - $1,333.35","https://www.newegg.com/msi-codexr2-b14nuc5-091us-intel-core-i5-14400f-geforce-rtx-4060-16gb-ddr5-2-tb-pcie/p/N82E16883151398?Item=N82E16883151398#moreBuyOptions","Free Shipping","Back order","","","","",""
"https://www.newegg.com/msi-codex-r2-b14nud7-093us-intel-core-i7-14700f-geforce-rtx-4060-ti-16gb-ddr5-1-tb-pcie/p/N82E16883151400","https://c1.neweggimages.com/productimage/nb300/83-151-398-01.jpg","https://www.newegg.com/MSI/BrandStore/ID-1312","https://c1.neweggimages.com/brandimage/Brand1312.gif","https://www.newegg.com/msi-codex-r2-b14nud7-093us-intel-core-i7-14700f-geforce-rtx-4060-ti-16gb-ddr5-1-tb-pcie/p/N82E16883151400#IsFeedbackTab","(5)","MSI Codex R2 Gaming Desktop PC, Intel Core i7-14700F, GeForce RTX 4060 Ti, 16GB DDR5, 1TB PCIe SSD, Windows 11 Home, Codex R2 B14NUD7-093US","GeForce RTX 4060 Ti","GPU/VGA Type:","Intel Core i7-14700F","CPU Name:","16GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","Codex R2 B14NUD7-093US","Model #:","$1,399.00","$","1,199",".00","–","Save:","$200.00","(14%)","More options from $1,199.00 - $1,432.45","https://www.newegg.com/msi-codex-r2-b14nud7-093us-intel-core-i7-14700f-geforce-rtx-4060-ti-16gb-ddr5-1-tb-pcie/p/N82E16883151400?Item=N82E16883151400#moreBuyOptions","Free Shipping","Back order","","","","",""
"https://www.newegg.com/p/3D5-003E-00F44","https://c1.neweggimages.com/productimage/nb300/B11ND2411060JZ4JT7A.jpg","https://www.newegg.com/Hoengager/BrandStore/ID-219291","https://c1.neweggimages.com/brandimage/Brand219291.gif","https://www.newegg.com/p/3D5-003E-00F44#IsFeedbackTab","(4)","Hoengager Gaming PC- AMD Ryzen 7 5700G 3.8 GHz 8-Core- GeForce RTX 4070 Super 12G -32GB DDR4 3200MHz -1TB PCIe SSD -WIFI ,Bluetooth ,HDMI  -Windows 11 Pro Desktop","GeForce RTX 4070 SUPER","GPU/VGA Type:","AMD Ryzen 7 5700G","CPU Name:","32GB DDR4","Memory Capacity:","Windows 11 Pro","Operating System:","CBDTHEFKW5700GLQ32G1T407S12GW11P","Model #:","$1,959.99","$","1,455",".99","–","Save:","$504.00","(25%)","","","","Add to cart","Free Shipping","from United States","https://c1.neweggimages.com/WebResource/Themes/Nest/icons/D2CIcon@1x.png","Available Direct from Hoengager","This product is sold direct from the manufacturer."
