"item-img href","checkedimg2 src","item-rating href","item-rating-num","tag href","tag-text","item-title","item-promo","item-features","item-features 2","item-features 3","item-features 4","item-features 5","item-features 6","item-features 7","item-features 8","item-features 9","item-features 10","price-was-data","price-current 2","price-current 3","price-save-label","price-save-dollar","price-save-percent","price-ship","d2c-section-title src","d2c-section-title","d2c-section-desc","btn 2","item-brand href","item-brand src","product-price-ship-eligible","product-delivery-title","message-information"
"https://www.newegg.com/p/3D5-006C-00001","https://c1.neweggimages.com/productimage/nb300/BV1MS2406280ILHWI06.jpg","https://www.newegg.com/p/3D5-006C-00001#IsFeedbackTab","(62)","https://www.newegg.com/Newegg/EventSaleStore/ID-2094698","Newegg+ Deal","AOACE Gaming PC Desktop INTEL Core i5 12400F 2.5 GHz, NVIDIA RTX 4060 8G DLSS 3, 32GB DDR4 RAM 3200MHz,1TB NVMe PCIe4.0,  Wi-Fi6E, Game Design Office console,Sea View Room,Windows 11 Home 64-bit","off for Newegg+ members only w/ promo code DEALDZAZ78, limited offer","Gaming & Entertainment","Type:","Consumer","Usage:","Black","Color:","INTEL core I5 12400F 2.50 GHz","Processor:","I5 12400F-RTX4060-32G-1T","Model #:","$1,599.99","779",".99","Save:","$820.00","(51%)","Free Shipping","https://c1.neweggimages.com/WebResource/Themes/Nest/icons/D2CIcon@1x.png","Available Direct from AOACE","This product is sold direct from the manufacturer.","Pre-order","","","","",""
"https://www.newegg.com/ipason-s6-zhanjing/p/3D5-001U-000Z3","https://c1.neweggimages.com/productimage/nb300/AZEBS2411270LEED00A.jpg","https://www.newegg.com/ipason-s6-zhanjing/p/3D5-001U-000Z3#IsFeedbackTab","(614)","https://www.newegg.com/Newegg-Select/EventSaleStore/ID-1836","Newegg Handpicked","IPASON - Gaming desktop - AMD Ryzen 5 5600G 6 core 3.9GHz - 16GB DDR4 3200MHz - 1TB M.2 NVMe - 550W PSU - Windows 11 home - WIFI - Gaming PC","Release Date: 01/10/2025","Gaming & Entertainment","Type:","Desktop","Form Factor:","Consumer","Usage:","Black/White","Color:","egg5600g500g16g","Model #:","$849.00","489",".00","Save:","$360.00","(42%)","Free Shipping","https://c1.neweggimages.com/WebResource/Themes/Nest/icons/D2CIcon@1x.png","Available Direct from IPASON","This product is sold direct from the manufacturer.","Pre-order","https://www.newegg.com/IPASON/BrandStore/ID-211969","https://c1.neweggimages.com/brandimage/Brand211969.gif","","",""
"https://www.newegg.com/p/3D5-002N-00085","https://c1.neweggimages.com/productimage/nb300/3D5-002N-00085-01.jpg","https://www.newegg.com/p/3D5-002N-00085#IsFeedbackTab","(47)","https://www.newegg.com/Newegg-Select/EventSaleStore/ID-1836","Newegg Handpicked","AVGPC Max Gaming PC, AMD Ryzen 5 5600G 6-Core 4.4 GHz Max Boost, AMD Radeon Vega 7 (GPU upgrade ready up to RTX 4070), 16GB 3200MHz DDR4, 1TB M.2 NVMe SSD, Hyper 212 RGB Cooler, Windows 11, Wi-Fi/AC","","AMD Radeon Vega 7","GPU/VGA Type:","AMD Ryzen 5 5600G","CPU Name:","16GB DDR4","Memory Capacity:","Windows 11 Home","Operating System:","AV-MAX-5600G","Model #:","$599.00","489",".99","Save:","$109.01","(18%)","","","","","Add to cart","https://www.newegg.com/AVGPC/BrandStore/ID-219092","https://c1.neweggimages.com/brandimage/Brand219092.gif","Free Shipping","from United States",""
"https://www.newegg.com/p/3D5-003E-00918","https://c1.neweggimages.com/productimage/nb300/B11ND2411060JZ4JT7A.jpg","https://www.newegg.com/p/3D5-003E-00918#IsFeedbackTab","(28)","https://www.newegg.com/Newegg-Select/EventSaleStore/ID-1836","Newegg Handpicked","Hoengager Gaming PC -AMD Ryzen 7 5700X 3.4 GHz-RTX 4060 8GB-32GB DDR4 RAM-1TB M.2 SSD-240 Liquid Cooler -WIFI &Bluetooth -RGB Fans-Windows 11 Pro Desktop Computer-White","","Gaming & Entertainment","Type:","Desktop","Form Factor:","Consumer","Usage:","White","Color:","CBDTHEFKW5700XLQ32G1T4068GW11P","Model #:","$1,399.99","1,069",".99","Save:","$330.00","(23%)","","https://c1.neweggimages.com/WebResource/Themes/Nest/icons/D2CIcon@1x.png","Available Direct from Hoengager","This product is sold direct from the manufacturer.","Add to cart","https://www.newegg.com/Hoengager/BrandStore/ID-219291","https://c1.neweggimages.com/brandimage/Brand219291.gif","Free Shipping","from United States",""
"https://www.newegg.com/abs-ca14700f4060ti-cyclone-aqua/p/N82E16883360492","https://c1.neweggimages.com/productimage/nb300/83-360-492-01.jpg","https://www.newegg.com/abs-ca14700f4060ti-cyclone-aqua/p/N82E16883360492#IsFeedbackTab","(108)","https://www.newegg.com/Newegg-Select/EventSaleStore/ID-1836","Newegg Handpicked","ABS Cyclone Aqua Gaming PC - Windows 11 - Intel i7 14700F - GeForce RTX 4060 Ti 8GB - DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - CA14700F4060ti","","ABS Cyclone 650W 80+ Gold","Power Supply:","Wi-Fi 5","WiFi Generation:","16.34"" x 7.87"" x 12.62""","Dimensions (H x W x D):","Gigabyte GeForce RTX 4060 Ti Windforce OC 8G with support for DLSS 3.5 - AI-Powered Performance","Graphics:","CA14700F4060ti","Model #:","$1,799.99","1,149",".99","Save:","$650.00","(36%)","Free Shipping","","","","Back order","https://www.newegg.com/ABS/BrandStore/ID-8484","https://c1.neweggimages.com/brandimage/Brand8484.gif","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/p/N82E16883101921","https://c1.neweggimages.com/productimage/nb300/83-101-920-01.jpg","https://www.newegg.com/p/N82E16883101921#IsFeedbackTab","(28)","","","Acer Nitro 60 Gaming Desktop PC, Intel Core i7-14700F, GeForce RTX 4060, 32GB DDR5, 2TB PCIe Gen 4 SSD, Windows 11 Home, N60-640-UR13","Get Intel Holiday Bundle w/ purchase, limited offer","650W 80 Plus Gold","Power Supply:","Realtek 802.11ac supporting dual-stream 2.4GHz and 5GHz bands","WiFi Generation:","15.90"" x 8.50"" x 14.90""","Dimensions (H x W x D):","NVIDIA GeForce RTX 4060 8 GB GDDR6","Graphics:","DG.E4BAA.004","Model #:","$1,549.99","1,179",".99","Save:","$370.00","(23%)","","","","","Add to cart","https://www.newegg.com/Acer-America/BrandStore/ID-1146","https://c1.neweggimages.com/brandimage/Brand1146.gif","Free Shipping","from United States",""
"https://www.newegg.com/abs-ca14400f4060-cyclone-aqua/p/N82E16883360497","https://c1.neweggimages.com/productimage/nb300/83-360-497-01.jpg","https://www.newegg.com/abs-ca14400f4060-cyclone-aqua/p/N82E16883360497#IsFeedbackTab","(28)","https://www.newegg.com/Newegg-Select/EventSaleStore/ID-1836","Newegg Handpicked","ABS Cyclone Aqua Gaming PC - Windows 11 - Intel i5 14400F - GeForce RTX 4060 - DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - CA14400F4060","Get Intel Holiday Bundle w/ purchase, limited offer","GeForce RTX 4060","GPU/VGA Type:","Intel Core i5-14400F","CPU Name:","32GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","CA14400F4060","Model #:","$1,299.99","979",".99","Save:","$320.00","(24%)","","","","","Add to cart","https://www.newegg.com/ABS/BrandStore/ID-8484","https://c1.neweggimages.com/brandimage/Brand8484.gif","Free Shipping","from United States",""
"https://www.newegg.com/p/3D5-0058-00010","https://c1.neweggimages.com/productimage/nb300/BMARS2411280GOMNKC9.jpg","https://www.newegg.com/p/3D5-0058-00010#IsFeedbackTab","(68)","","","VTG Gaming PC Desktop Ryzen7 5700X (8 Core up to 4.6GHz 7nm) 32GB DDR4 1TB SSD NVMe , NVIDIA RTX4060Ti, 650W PSU, Wi-Fi, 240 Liquid Cooler ,ARGB Fans,Windows 11 Home 64-bit,gaming pc","Release Date: 12/30/2024","Gaming","Usage:","Black","Color:","Ryzen 7 5700X 8 CORE","Processor:","32GB (16*2) DDR4 3200MHz","Memory:","VTG5700X-0","Model #:","$2,399.00","1,059",".00","Save:","$1,340.00","(55%)","Free Shipping","https://c1.neweggimages.com/WebResource/Themes/Nest/icons/D2CIcon@1x.png","Available Direct from VTG","This product is sold direct from the manufacturer.","Pre-order","","","","",""
"https://www.newegg.com/p/N82E16883360556","https://c1.neweggimages.com/productimage/nb300/83-360-556-01.jpg","https://www.newegg.com/p/N82E16883360556#IsFeedbackTab","(213)","","","ABS Cyclone Aqua Gaming PC Powered by Asus - Windows 11 - Intel i5 13400F - GeForce RTX 4060 8GB - DLSS 3 - AI-Powered Performance - 32GB DDR4 3200MHz - 1TB M.2 NVMe SSD - CA13400F40602","","ABS 650W 80+ Gold","Power Supply:","415mm x 200mm x 320.5mm","Dimensions (H x W x D):","Asus Dual RTX 4060 with support for DLSS 3 - AI-Powered Performance","Graphics:","Gaming & Entertainment","Type:","CA13400F40602","Model #:","$999.99","799",".99","Save:","$200.00","(20%)","Free Shipping","","","","Back order","https://www.newegg.com/ABS/BrandStore/ID-8484","https://c1.neweggimages.com/brandimage/Brand8484.gif","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/yeyian-ypi-ta34f0b-4601n/p/N82E16883630042","https://c1.neweggimages.com/productimage/nb300/83-630-042-04.jpg","https://www.newegg.com/yeyian-ypi-ta34f0b-4601n/p/N82E16883630042#IsFeedbackTab","(102)","","","Yeyian Tanto Gaming PC Desktop, Intel Core i5-13400F, Nvidia RTX 4060, 16GB DDR5 5600MHz, 1TB NVMe SSD, 650W Gold PSU, AC Wi-Fi, Windows 11 64-bit, YPI-TA34F0B-4601N","","GeForce RTX 4060","GPU/VGA Type:","Intel Core i5-13400F","CPU Name:","16GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","YPI-TA34F0B-4601N","Model #:","$1,099.00","749",".99","Save:","$349.01","(31%)","Free Shipping","","","","Back order","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
