"item-img href","checkedimg2 src","btn","item-brand href","item-brand src","item-rating href","item-rating-num","item-title","item-promo","item-features","item-features 2","item-features 3","item-features 4","item-features 5","item-features 6","item-features 7","item-features 8","item-features 9","item-features 10","price-was-data","price-current 2","price-current 3","price-save-label","price-save-dollar","price-save-percent","price-ship","btn 2","form-checkbox-title","product-price-ship-eligible","product-delivery-title","message-information"
"https://www.newegg.com/ipason-s6-zhanjing/p/3D5-001U-000Z3","https://c1.neweggimages.com/productimage/nb300/AZEBS2411270LEED00A.jpg","Quick View","https://www.newegg.com/IPASON/BrandStore/ID-211969","https://c1.neweggimages.com/brandimage/Brand211969.gif","https://www.newegg.com/ipason-s6-zhanjing/p/3D5-001U-000Z3#IsFeedbackTab","(614)","IPASON - Gaming desktop - AMD Ryzen 5 5600G 6 core 3.9GHz - 16GB DDR4 3200MHz - 1TB M.2 NVMe - 550W PSU - Windows 11 home - WIFI - Gaming PC","Release Date: 01/10/2025","Gaming & Entertainment","Type:","Desktop","Form Factor:","Consumer","Usage:","Black/White","Color:","egg5600g500g16g","Model #:","$849.00","489",".00","Save:","$360.00","(42%)","Free Shipping","Pre-order","Compare","","",""
"https://www.newegg.com/p/N82E16883630067","https://c1.neweggimages.com/productimage/nb300/83-630-067-02.jpg","Quick View","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","https://www.newegg.com/p/N82E16883630067#IsFeedbackTab","(255)","Yeyian Yumi Gaming Desktop, Intel Core i5-14400F, RTX 4060 – AI Integrated, 32GB DDR4, 1TB SSD Gen 4.0, YPI-YU44F0C-4601N","Get Intel Holiday Bundle w/ purchase, limited offer","GeForce RTX 4060","GPU/VGA Type:","Intel Core i5-14400F","CPU Name:","32GB DDR4","Memory Capacity:","Windows 11 Home","Operating System:","YPI-YU44F0C-4601N","Model #:","$929.99","799",".99","Save:","$130.00","(13%)","","Add to cart","Compare","Free Shipping","from United States",""
"https://www.newegg.com/yeyian-ypi-yu34f0c-4601n-phoenix-glass/p/N82E16883630057","https://c1.neweggimages.com/productimage/nb300/83-630-057-08.jpg","Quick View","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","https://www.newegg.com/yeyian-ypi-yu34f0c-4601n-phoenix-glass/p/N82E16883630057#IsFeedbackTab","(255)","Yeyian Yumi Gaming PC, Intel Core i5-13400F, GeForce RTX 4060 - AI Accelerated, 32GB DDR5 5600MHz RGB, 2TB SSD, 650W PSU, Windows 11 Home, YPI-YU34F0C-4601N","","GeForce RTX 4060","GPU/VGA Type:","Intel Core i5-13400F","CPU Name:","32GB DDR5","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","YPI-YU34F0C-4601N","Model #:","$1,399.99","869",".99","Save:","$530.00","(37%)","Free Shipping","Back order","Compare","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/yeyian-ypi-yu27f0c-4601n/p/N82E16883630043","https://c1.neweggimages.com/productimage/nb300/83-630-043-06.jpg","Quick View","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","https://www.newegg.com/yeyian-ypi-yu27f0c-4601n/p/N82E16883630043#IsFeedbackTab","(255)","Yeyian Yumi Gaming PC Desktop, Intel Core i7-12700F, Nvidia RTX 4060, 32GB DDR4 3200MHz, 1TB SSD, 650W Gold PSU, AC Wi-Fi, Windows 11 64-bit, YPI-YU27F0C-4601N","","GeForce RTX 4060","GPU/VGA Type:","Intel Core i7-12700F","CPU Name:","32GB DDR4","Memory Capacity:","Windows 11 Home 64-bit","Operating System:","YPI-YU27F0C-4601N","Model #:","$1,299.00","909",".00","Save:","$390.00","(30%)","Free Shipping","Back order","Compare","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/p/N82E16883630061","https://c1.neweggimages.com/productimage/nb300/83-630-061-12.jpg","Quick View","https://www.newegg.com/YEYIAN/BrandStore/ID-207638","https://c1.neweggimages.com/brandimage/Brand207638.gif","https://www.newegg.com/p/N82E16883630061#IsFeedbackTab","(255)","Yeyian Yumi Gaming Desktop PC, AMD Ryzen 7 7500X, NVIDIA GeForce RTX 4060 - AI Accelerated, 32GB DDR4, 1TB PCIe SSD, 120mm AIO Liquid Cooler, 650W PSU, Windows 11 Home 64-bit, YPA-YU570XC-4601N","","YEYIAN 650W 80+ Gold","Power Supply:","Wi-Fi 6","WiFi Generation:","ASUS GeForce RTX 4060 - AI Accelerated","Graphics:","Gaming & Entertainment","Type:","YPA-YU570XC-4601N","Model #:","$1,399.99","879",".99","Save:","$520.00","(37%)","Free Shipping","Back order","Compare","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4732985","https://c1.neweggimages.com/productimage/nb300/combo4732985.jpg","Add to cart","","","","","GPU Desktop Combo -  ASRock RX6600 CLD 8G Bundle with  AVGPC AV-MAX-5600G","","","","","","","","","","","","$679.96","674",".96","Combo Savings:","$5.00","","","","","","",""
"https://www.newegg.com/p/N82E16883360556","https://c1.neweggimages.com/productimage/nb300/83-360-556-01.jpg","Quick View","https://www.newegg.com/ABS/BrandStore/ID-8484","https://c1.neweggimages.com/brandimage/Brand8484.gif","https://www.newegg.com/p/N82E16883360556#IsFeedbackTab","(213)","ABS Cyclone Aqua Gaming PC Powered by Asus - Windows 11 - Intel i5 13400F - GeForce RTX 4060 8GB - DLSS 3 - AI-Powered Performance - 32GB DDR4 3200MHz - 1TB M.2 NVMe SSD - CA13400F40602","","ABS 650W 80+ Gold","Power Supply:","415mm x 200mm x 320.5mm","Dimensions (H x W x D):","Asus Dual RTX 4060 with support for DLSS 3 - AI-Powered Performance","Graphics:","Gaming & Entertainment","Type:","CA13400F40602","Model #:","$999.99","799",".99","Save:","$200.00","(20%)","Free Shipping","Back order","Compare","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
"https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4732986","https://c1.neweggimages.com/productimage/nb300/combo4732986.jpg","Add to cart","","","","","GPU Desktop Combo -  ASUS DUAL-RTX3060-O12G-V2 Bundle with  AVGPC AV-MAX-5600G","","","","","","","","","","","","$789.96","784",".96","Combo Savings:","$5.00","","","","","","",""
"https://www.newegg.com/p/3D5-001U-001M4","https://c1.neweggimages.com/productimage/nb300/AZEBS2411280GAYJX03.jpg","Quick View","https://www.newegg.com/IPASON/BrandStore/ID-211969","https://c1.neweggimages.com/brandimage/Brand211969.gif","https://www.newegg.com/p/3D5-001U-001M4#IsFeedbackTab","(113)","IPASON   Gaming Desktop, Intel i5 12400F, NVIDIA RTX 4060 8GB,16GB DDR4 RAM, 1TB M.2 NVMe SSD, Windows 11 home,WIFI, Air Cooler,  RGB Fans ,Pc for GamingDesignOffice, Prebuilt Gaming Pc","Release Date: 01/10/2025","Intel Core i5 12th Gen","CPU Type:","2.50GHz","CPU Base Frequency:","4.4GHz","Turbo Frequency:","EGG-12400F+3060-1","Model #:","","","$2,599.99","789",".00","Save:","$1,810.99","(69%)","Free Shipping","Pre-order","Compare","","",""
"https://www.newegg.com/abs-ca14700f4060ti-cyclone-aqua/p/N82E16883360492","https://c1.neweggimages.com/productimage/nb300/83-360-492-01.jpg","Quick View","https://www.newegg.com/ABS/BrandStore/ID-8484","https://c1.neweggimages.com/brandimage/Brand8484.gif","https://www.newegg.com/abs-ca14700f4060ti-cyclone-aqua/p/N82E16883360492#IsFeedbackTab","(108)","ABS Cyclone Aqua Gaming PC - Windows 11 - Intel i7 14700F - GeForce RTX 4060 Ti 8GB - DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - CA14700F4060ti","","ABS Cyclone 650W 80+ Gold","Power Supply:","Wi-Fi 5","WiFi Generation:","16.34"" x 7.87"" x 12.62""","Dimensions (H x W x D):","Gigabyte GeForce RTX 4060 Ti Windforce OC 8G with support for DLSS 3.5 - AI-Powered Performance","Graphics:","CA14700F4060ti","Model #:","$1,799.99","1,149",".99","Save:","$650.00","(36%)","Free Shipping","Back order","Compare","","","This product is temporarily out of stock because of high demand, we will replenish it as soon as possible."
