image,link,title,podcaster
https://i.scdn.co/image/ab67656300005f1fc41e4ff1aeeba556448c9f01,https://open.spotify.com/show/0lKjm6CqM8WPQbSN5Z4vfJ,Simply Bitcoin,Nico Moran and Optimist Fields
https://i.scdn.co/image/ab67656300005f1fd90f1b295eb065f1eaa5ba89,https://open.spotify.com/show/6WzoIyTowK47rcAmvrS7gt,The Canadian Bitcoiners Podcast - Bitcoin News With a Canadian Spin,Joey and Len
https://i.scdn.co/image/ab67656300005f1fe0f9ca25e7690b70a571b327,https://open.spotify.com/show/69AABOXxSynCpfFzwIYK9v,The Bitcoin Layer,The Bitcoin Layer
https://i.scdn.co/image/ab67656300005f1ffc30dba227f4c9a71ba5bd73,https://open.spotify.com/show/28RHOkXkuHuotUrkCdvlOP,We Study Billionaires - The Investor’s Podcast Network,The Investor's Podcast Network
https://i.scdn.co/image/ab67656300005f1fe203c06316f56a476ddbb2ef,https://open.spotify.com/show/0Vd8E5vWnCfB4xucu87WNZ,TFTC: A Bitcoin Podcast,Marty Bent
https://i.scdn.co/image/ab67656300005f1fdd605e6c08b817730c2b94af,https://open.spotify.com/show/3ErV4y8duq3AF2yIZgki1R,Daily Crypto News,Matt Diemer
https://i.scdn.co/image/ab67656300005f1ffab02f24c907c45366b57bee,https://open.spotify.com/show/2jXIy9OQZh2gI65OwfvaPq,Crypto News Alerts | Daily Bitcoin (BTC) & Cryptocurrency News,Justin Verrengia
https://i.scdn.co/image/ab67656300005f1f8d0fe870db0e87b78978a304,https://open.spotify.com/show/0bn8XQHWGxXULjhp1jRmOJ,The Pomp Podcast,Anthony Pompliano
https://i.scdn.co/image/ab67656300005f1fa3575fd66e1aeed0fcd41ffe,https://open.spotify.com/show/0YOEwxAR1uIx1a15QpqE0l,Coin Stories,Natalie Brunell
https://i.scdn.co/image/ab67656300005f1f84eb9ee63017c9aaffeb1d7f,https://open.spotify.com/show/691nFDIWWmhFFAz7xp3wAr,The Bitcoin Standard Podcast,Dr. Saifedean Ammous
