title,link,podcaster
ACG - The Best Gaming Podcast,https://podcasts.apple.com/ca/podcast/acg---the-best-gaming-podcast/id966781846,Jeremy Penter
Kinda Funny Games Daily: Video Games News Podcast,https://podcasts.apple.com/ca/podcast/kinda-funny-games-daily%3A-video-games-news-podcast/id1247343210,Kinda Funny
Game Theory,https://podcasts.apple.com/ca/podcast/game-theory/id1679604930,The Game Theorists
Remember The Game? Retro Gaming Podcast,https://podcasts.apple.com/ca/podcast/remember-the-game%3F-retro-gaming-podcast/id1407041447,Adam Blank
Friends Per Second,https://podcasts.apple.com/ca/podcast/friends-per-second/id1629844110,Friends Per Second
Game Scoop!,https://podcasts.apple.com/ca/podcast/game-scoop!/id276268226,IGN
Giant Bombcast,https://podcasts.apple.com/ca/podcast/giant-bombcast/id274450056,Giant Bomb
WhatCulture Gaming,https://podcasts.apple.com/ca/podcast/whatculture-gaming/id1433583146,WhatCulture.com
Critical Role,https://podcasts.apple.com/ca/podcast/critical-role/id1453805439,Critical Role
What's Good Games: A Video Game Podcast,https://podcasts.apple.com/ca/podcast/what's-good-games%3A-a-video-game-podcast/id1239568910,What's Good Games
Triple Click,https://podcasts.apple.com/ca/podcast/triple-click/id1507834679,Maximum Fun
The Jeff Gerstmann Show - A Podcast About Video Games,https://podcasts.apple.com/ca/podcast/the-jeff-gerstmann-show---a-podcast-about-video-games/id1628348754,Jeff Gerstmann | QCODE
Kinda Funny Gamescast: Video Game Podcast,https://podcasts.apple.com/ca/podcast/kinda-funny-gamescast%3A-video-game-podcast/id957171516,Kinda Funny
Tales from the Stinky Dragon,https://podcasts.apple.com/ca/podcast/tales-from-the-stinky-dragon/id1563814788,Stinky Dragon
Get Played,https://podcasts.apple.com/ca/podcast/get-played/id1466286684,Headgum
Games with Names,https://podcasts.apple.com/ca/podcast/games-with-names/id1639821773,iHeartPodcasts
Nintendo Voice Chat,https://podcasts.apple.com/ca/podcast/nintendo-voice-chat/id276268457,IGN
The Best Idea Yet,https://podcasts.apple.com/ca/podcast/the-best-idea-yet/id1772686997,Wondery
This Week in Gaming,https://podcasts.apple.com/ca/podcast/this-week-in-gaming/id1726212209,iHeartRadio
The Big Fib,https://podcasts.apple.com/ca/podcast/the-big-fib/id1348469682,GZM Shows
Video Gamers Podcast,https://podcasts.apple.com/ca/podcast/video-gamers-podcast/id1501880187,Gaming
The Nextlander Podcast,https://podcasts.apple.com/ca/podcast/the-nextlander-podcast/id1570737028,The Nextlander Podcast
Fire Escape Cast,https://podcasts.apple.com/ca/podcast/fire-escape-cast/id1562626230,Fire Escape Cast
Sacred Symbols: A PlayStation Podcast,https://podcasts.apple.com/ca/podcast/sacred-symbols%3A-a-playstation-podcast/id1406231151,Last Stand Media & Studio71
Game of Roses,https://podcasts.apple.com/ca/podcast/game-of-roses/id1469113217,Game of Roses
Critical Role & Sagas of Sundry,https://podcasts.apple.com/ca/podcast/critical-role-%26-sagas-of-sundry/id1522600041,geekandsundry
theScore Fantasy Football Podcast with Justin Boone,https://podcasts.apple.com/ca/podcast/thescore-fantasy-football-podcast-with-justin-boone/id1426560594,Score Media and Gaming
Fore Play,https://podcasts.apple.com/ca/podcast/fore-play/id1200343264,Barstool Sports
Did You Know Gaming?,https://podcasts.apple.com/ca/podcast/did-you-know-gaming%3F/id1614715574,Shane Gill
Podcast Beyond - IGN's PlayStation Show,https://podcasts.apple.com/ca/podcast/podcast-beyond---ign's-playstation-show/id276268070,IGN Staff
Dragon Age: Vows & Vengeance,https://podcasts.apple.com/ca/podcast/dragon-age%3A-vows-%26-vengeance/id1752014282,Electronic Arts | Pod People
The Secret Cabal Gaming Podcast,https://podcasts.apple.com/ca/podcast/the-secret-cabal-gaming-podcast/id465081916,The Secret Cabal Founders
The Official Game of Thrones Podcast: House of the Dragon,https://podcasts.apple.com/ca/podcast/the-official-game-of-thrones-podcast%3A-house-of-the-dragon/id1635830141,HBO
