image,link,title,podcaster
https://i.scdn.co/image/ab67656300005f1f563ebb538d297875b10114b7,https://open.spotify.com/show/2MAi0BvDc6GTFvKFPXnkCL,Lex Fridman Podcast,Lex Fridman
https://i.scdn.co/image/ab67656300005f1ffed98c4fdc504416141e9409,https://open.spotify.com/show/0KxdEdeY2Wb3zr28dMlQva,The Journal.,The Wall Street Journal
https://i.scdn.co/image/ab67656300005f1f3f67f781482bb29af136dd20,https://open.spotify.com/show/76VOmPpOHaTyA1OaRc4BDv,Search Engine,PJ Vogt
https://i.scdn.co/image/ab67656300005f1fbe4b8812b2b17b7585f41d2e,https://open.spotify.com/show/4MU3RFGELZxPT9XHVwTNPR,Pivot,New York Magazine
https://i.scdn.co/image/ab67656300005f1ff662927adc2c9d6505e05b51,https://open.spotify.com/show/2IqXAVFR4e0Bmyjsdc8QzF,"All-In with Chamath, Jason, Sacks & Friedberg","All-In Podcast, LLC"
https://i.scdn.co/image/ab67656300005f1f1eef8dcabec3dca77ace07c8,https://open.spotify.com/show/1VXcH8QHkjRcTCEd88U3ti,TED Talks Daily,TED
https://i.scdn.co/image/ab67656300005f1fc1c2aa46984f4d3e46f2f77e,https://open.spotify.com/show/7Fj0XEuUQLUqoMZQdsLXqp,Acquired,Ben Gilbert and David Rosenthal
https://i.scdn.co/image/ab67656300005f1f103e8dee8b47f64994f0ae38,https://open.spotify.com/show/6ZEqk3r5BoD8nNDiWto6sI,Instant Genius,Our Media
https://i.scdn.co/image/ab67656300005f1fd27c58dc12f1c25fb933dd86,https://open.spotify.com/show/4XPl3uEEL9hvqMkoZrzbx5,Darknet Diaries,Jack Rhysider
https://i.scdn.co/image/ab67656300005f1f34f66446f12be0ee6e6c2c1f,https://open.spotify.com/show/7gKwwMLFLc6RmjmRpbMtEO,The AI Daily Brief (Formerly The AI Breakdown): Artificial Intelligence News and Analysis,Nathaniel Whittemore
